version	program	cycles	retired	stalls	branches	mispredicts	time_ns
single	independent	21	21	0	0	-1	2100
single	dependency	21	21	0	0	-1	2100
single	sort	94	94	0	31	-1	9400
pipeline_off	independent	25	21	0	0	0	2500
pipeline_off	dependency	82	21	57	0	0	8200
pipeline_off	sort	226	94	83	31	19	22600
pipeline_on	independent	25	21	0	0	0	2500
pipeline_on	dependency	82	21	57	0	0	8200
pipeline_on	sort	223	94	83	31	10	22300
